EDT;Nombre de tarea;Duración;Comienzo;Fin;Predecesoras;Nombres de recursos;Trabajo;Hito;Notas
1.0;PROYECTO COMPLETO: AGENTE IA ISMM;47d;03/02/26;09/04/26;;Equipo;752h;No;Proyecto completo de implementación
1.1;FASE 1: PLANIFICACIÓN Y ANÁLISIS;5d;03/02/26;07/02/26;;Equipo;80h;No;Fase crítica inicial
1.1.1;Reunión inicial con stakeholders;0.5d;03/02/26;03/02/26;;Ambos (100%);8h;No;Reunión presencial obligatoria con dirección
1.1.2;Análisis de requisitos funcionales;1d;04/02/26;04/02/26;1.1.1;Persona 1 (100%);8h;No;Documentar casos de uso y funcionalidades
1.1.3;Análisis de requisitos no funcionales;1d;04/02/26;04/02/26;1.1.1;Persona 2 (100%);8h;No;Performance seguridad escalabilidad
1.1.4;Definición de alcance y objetivos SMART;1d;05/02/26;05/02/26;1.1.2;1.1.3;Persona 1 (100%);8h;No;Específicos Medibles Alcanzables Relevantes Temporales
1.1.5;Creación de especificaciones técnicas;1.5d;05/02/26;06/02/26;1.1.2;1.1.3;Persona 2 (100%);12h;No;Documento técnico completo con arquitectura
1.1.6;Revisión y aprobación del plan;0.5d;07/02/26;07/02/26;1.1.4;1.1.5;Ambos (100%);8h;No;Presentación a stakeholders
1.1.7;HITO: Plan de Proyecto Aprobado;0d;07/02/26;07/02/26;1.1.6;;0h;Sí;H1: Aprobación formal para continuar
1.2;FASE 2: PREPARACIÓN DE DATOS Y CONTENIDO;8d;10/02/26;19/02/26;1.1.7;Equipo;128h;No;Base de conocimiento del agente
1.2.1;Estructuración de 3 carreras profesionales;2d;10/02/26;11/02/26;1.1.7;Persona 1 (100%);16h;No;Cocinero/Panadero/Pastelero Prof. Panadero y Pastelero Cocinero
1.2.2;Estructuración de 4 diplomados;1.5d;10/02/26;11/02/26;1.1.7;Persona 2 (100%);12h;No;Cocina Básica Internacional Repostería Pastelería
1.2.3;Estructuración de 15 cursos cortos;2d;12/02/26;13/02/26;1.2.1;Persona 1 (100%);16h;No;Información detallada de cada curso
1.2.4;Creación de base de FAQs (50+ preguntas);1.5d;12/02/26;13/02/26;1.2.2;Persona 2 (100%);12h;No;Preguntas frecuentes categorizadas
1.2.5;Desarrollo del guión conversacional;2d;14/02/26;17/02/26;1.2.3;1.2.4;Ambos (100%);32h;No;Flujos de conversación completos
1.2.6;Revisión con equipo académico;1d;18/02/26;18/02/26;1.2.5;Persona 1 (50%);4h;No;Validación de contenido técnico
1.2.7;Ajustes y correcciones finales;0.5d;18/02/26;18/02/26;1.2.6;Persona 2 (100%);4h;No;Incorporar feedback del equipo
1.2.8;Exportación a formato JSON estructurado;0.5d;19/02/26;19/02/26;1.2.7;Persona 1 (100%);4h;No;Base de conocimiento lista para IA
1.2.9;HITO: Contenido Estructurado;0d;19/02/26;19/02/26;1.2.8;;0h;Sí;H2: Base de conocimiento completa
1.3;FASE 3: INTEGRACIÓN META API - WHATSAPP;7d;20/02/26;28/02/26;1.2.9;Equipo;112h;No;Proceso puede tener tiempos de espera
1.3.1;Verificación de número telefónico;1d;20/02/26;20/02/26;1.2.9;Persona 1 (100%);8h;No;Verificar número en Meta Business Suite
1.3.2;Validación de portafolio empresarial;1d;20/02/26;20/02/26;1.2.9;Persona 2 (100%);8h;No;Verificar estado en Meta
1.3.3;Preparación de documentación empresarial;1d;21/02/26;21/02/26;1.3.1;1.3.2;Persona 1 (100%);8h;No;Documentos legales RUC etc.
1.3.4;Envío y seguimiento de verificación;2d;24/02/26;25/02/26;1.3.3;Persona 2 (50%);8h;No;Puede tomar 24-48h de espera
1.3.5;Creación de app en Meta for Developers;1d;24/02/26;24/02/26;1.3.3;Persona 1 (100%);8h;No;Configurar app y permisos
1.3.6;Configuración de credenciales y tokens;1d;25/02/26;25/02/26;1.3.5;Persona 1 (100%);8h;No;Access tokens API keys
1.3.7;Configuración de webhooks;1d;26/02/26;26/02/26;1.3.6;Persona 2 (100%);8h;No;Endpoints para recibir mensajes
1.3.8;Pruebas de conexión con WhatsApp API;1d;27/02/26;27/02/26;1.3.7;1.3.4;Ambos (100%);16h;No;Envío y recepción de mensajes
1.3.9;Documentación de credenciales;0.5d;28/02/26;28/02/26;1.3.8;Persona 1 (100%);4h;No;Guardar en gestor de contraseñas
1.3.10;HITO: WhatsApp API Verificado;0d;28/02/26;28/02/26;1.3.9;;0h;Sí;H3: Conexión WhatsApp funcional
1.4;FASE 4: CONFIGURACIÓN DE CHATWOOT;5d;03/03/26;07/03/26;1.3.10;Equipo;80h;No;Plataforma de gestión de conversaciones
1.4.1;Instalación de Chatwoot en servidor;1.5d;03/03/26;04/03/26;1.3.10;Persona 2 (100%);12h;No;Instalación en cloud o servidor propio
1.4.2;Configuración inicial de la plataforma;0.5d;03/03/26;03/03/26;1.3.10;Persona 1 (100%);4h;No;Configuración básica
1.4.3;Integración con WhatsApp Business API;1d;05/03/26;05/03/26;1.4.1;1.4.2;Persona 1 (100%);8h;No;Conectar webhooks de WhatsApp
1.4.4;Configuración de equipos y usuarios;0.5d;05/03/26;05/03/26;1.4.1;Persona 2 (100%);4h;No;Roles: admin agentes supervisores
1.4.5;Personalización de interfaz;1d;06/03/26;06/03/26;1.4.3;1.4.4;Persona 2 (100%);8h;No;Branding colores logo
1.4.6;Configuración de etiquetas y categorías;0.5d;06/03/26;06/03/26;1.4.3;Persona 1 (100%);4h;No;Organización de conversaciones
1.4.7;Creación de respuestas rápidas;0.5d;07/03/26;07/03/26;1.4.6;Persona 1 (100%);4h;No;Templates de respuestas comunes
1.4.8;Configuración de automatizaciones;0.5d;07/03/26;07/03/26;1.4.5;Persona 2 (100%);4h;No;Reglas de asignación automática
1.4.9;Pruebas de bandeja de entrada omnicanal;0.5d;07/03/26;07/03/26;1.4.7;1.4.8;Ambos (100%);8h;No;Verificar funcionamiento completo
1.4.10;HITO: Chatwoot Operativo;0d;07/03/26;07/03/26;1.4.9;;0h;Sí;H4: Plataforma lista para IA
1.5;FASE 5: DESARROLLO E INTEGRACIÓN AGENTE IA;10d;10/03/26;21/03/26;1.4.10;Equipo;160h;No;Núcleo del sistema
1.5.1;Evaluación de plataformas de IA;1d;10/03/26;10/03/26;1.4.10;Ambos (100%);16h;No;Claude GPT-4 Gemini - análisis comparativo
1.5.2;Selección y justificación de plataforma;0.5d;11/03/26;11/03/26;1.5.1;Persona 1 (100%);4h;No;Documento de decisión técnica
1.5.3;Configuración de cuenta y API keys;0.5d;11/03/26;11/03/26;1.5.2;Persona 2 (100%);4h;No;Credenciales de la plataforma elegida
1.5.4;Estructuración de base de conocimiento;1.5d;12/03/26;13/03/26;1.5.3;Persona 1 (100%);12h;No;Formato JSON/DB optimizado para IA
1.5.5;Desarrollo de sistema de embeddings;1d;12/03/26;12/03/26;1.5.3;Persona 2 (100%);8h;No;Vector database si es necesario
1.5.6;Entrenamiento del agente - Carreras;1d;14/03/26;14/03/26;1.5.4;Persona 1 (100%);8h;No;Fine-tuning con datos de carreras
1.5.7;Entrenamiento del agente - Diplomados;1d;14/03/26;14/03/26;1.5.4;Persona 2 (100%);8h;No;Fine-tuning con datos de diplomados
1.5.8;Entrenamiento del agente - Cursos cortos;1d;17/03/26;17/03/26;1.5.6;1.5.7;Persona 1 (100%);8h;No;Fine-tuning con datos de cursos
1.5.9;Configuración de intents y entidades;1d;17/03/26;17/03/26;1.5.6;1.5.7;Persona 2 (100%);8h;No;NLU: detección de intenciones
1.5.10;Desarrollo de flujos conversacionales;1.5d;18/03/26;19/03/26;1.5.8;1.5.9;Ambos (100%);24h;No;Lógica de conversación con contexto
1.5.11;Integración del agente con Chatwoot API;1d;19/03/26;19/03/26;1.5.10;Persona 1 (100%);8h;No;Conexión bidireccional
